# for hus0h
#korAncorrectedtoincludeallextensions(NYW)usedasvowels,andextendedvowelswrittenastriplevowels(vvv)

1.002.001 .ʼalḥamdulillaahirAbbilʻaalamiiin.
1.003.002 .ʼarrAḥmaanirrAḥiiim.
1.004.003 .maalikiyawmiddiiin.
1.005.004 .ʼiyyaakanaʻbuduwaʼiyyaakanastaʻiiin.
1.006.005 .ʼahdinaṣṣirAAṭAlmustaqiiim.
1.007.006 .ṣirAAṭAllaḏiinaʼanʻamtaʻalayhimġAyrilmaġḍuubiʻalayhimwalaḍḍAAAAAAAAAAlliiin.


2.001.001 .ʼaliflaaaaaaaaaaamNNNNNNmiiiiiiiiiiiim.
2.002.002 .ḏaalikalkitaabulaarAybafiiih.
2.003.003 .hudallilmuttaqiiin.
2.003.004 .ʼallaḏiinayuʼminuunabilġAybiwayuqiimuunaṣṣAlaatawamimNNNmaarAzaq*naahumyumNNNfiquuun.
2.004.005 .wallaḏiinayuʼminuunabimaaʼunNNNzilaʼilaykawamaaʼunNNNzilaminNNNqAb*likawabilʼaaḫirAtihumyuuqinuuun.
2.005.006 .ʼulaaaaaaʼikaʻalaahudamNNNmirrAbbihimwaʼulaaaaaaʼikahumulmufliḥuuun.
2.006.007 .ʼinNNNnallaḏiinakafaruusawaaaaaaʼunʻalayhimʼaʼanNNNḏartahumʼamlamtunNNNḏirhumlaayuʼminuuun.
2.007.008 .ḫAtamaLLAAhuʻalaaquluubihimwaʻalaasamʻihimwaʻalaaʼab*ṣAArihimġišaawatuwWWWwalahumʻaḏaabunʻaẓiiim.
2.008.009 .waminanNNNnaasimayYYYyaquuluʼaamanNNNnaabillaahiwabilyawmilʼaaḫiriwamaahumNNNbimuʼminiiin.
2.009.010 .yuḫAAdiʻuunALLAAhawallaḏiinaʼaamanuuwamaayaḫdaʻuunaʼillaaʼamNNNfusahumwamaayašʻuruuun.
2.010.011 .fiiquluubihimNNNmarAḍumNNNfazaadahumuLLAAhumarAḍAwWWWwalahumʻaḏaabunʼaliimumNNNbimaakaanuuyakḏibuuun.
2.011.012 .waʼiḏaaqiilalahumlaatufsiduufilʼarḍiqAAluuʼinNNNnamaanaḥnumuṣliḥuuun.
