# for hus9h



  1.001.001 .bismillahirrAḥmaanirrAḥiiim.
  1.003.002 .ʼalḥamdulillaahirAbbilʻaalamiiin.
  1.004.003 .ʼarrAḥmaanirrAḥiiim.
  1.005.004 .maalikiyawmiddiiin.
  1.006.005 .ʼiyyaakanaʻbuduwaʼiyyaakanastaʻiiin.
  1.007.006 .ʼihdinaṣṣirAAṭAlmustaqiiim.
  1.008.007 .ṣirAAṭAllaḏiinaʼanʻamtaʻalayhimġAyrilmaġḍuubiʻalayhimwalaḍḍAAAAAAAAAAlliiin.


  2.001.001 .ʼaliflaaaaaaaaaaamNNNNNNmiiiiiiiiiiiim.
  2.002.002 .ḏaalikalkitaabulaarAybafiiih.
  2.003.003 .hudallilmuttaqiiin.
  2.003.004 .ʼallaḏiinayuʼminuunabilġAybiwayuqiimuunaṣṣAlaatawamimNNNmaarAzaq*naahumyumNNNfiquuun.
  2.004.005 .wallaḏiinayuʼminuunabimaaʼunNNNzilaʼilaykawamaaʼunNNNzilaminNNNqAb*likawabilʼaaḫirAtihumyuuqinuuun.
  2.005.006 .ʼulaaaaaaʼikaʻalaahudamNNNmirrAbbihimwaʼulaaaaaaʼikahumulmufliḥuuun.
  2.006.007 .ʼinNNNnallaḏiinakafaruusawaaaaaaʼunʻalayhimʼaʼanNNNḏartahumʼamlamtunNNNḏirhumlaayuʼminuuun.
  2.007.008 .ḫAtamaLLAAhuʻalaaquluubihimwaʻalaasamʻihimwaʻalaaʼab*ṣAArihimġišaawatuwWWWwalahumʻaḏaabunʻaẓiiim.
  2.008.009 .waminanNNNnaasimayYYYyaquuluʼaamanNNNnaabillaahiwabilyawmilʼaaḫiriwamaahumNNNbimuʼminiiin.
  2.009.010 .yuḫAAdiʻuunALLAAhawallaḏiinaʼaamanuuwamaayaḫdaʻuunaʼillaaʼamNNNfusahumwamaayašʻuruuun.
  2.010.011 .fiiquluubihimNNNmarAḍumNNNfazaadahumuLLAAhumarAḍAA.
  2.010.012 .walahumʻaḏaabunʼaliimumNNNbimaakaanuuyakḏibuuun.
  2.011.013 .waʼiḏaaqiilalahumlaatufsiduufilʼarḍiqAAluuʼinNNNnamaanaḥnumuṣliḥuuun.
  2.012.014 .ʼalaaʼinNNNnahumhumulmufsiduunawalaakillaayašʻuruuun.
  2.013.015 .waʼiḏaaqiilalahumʼaaminuukamaaʼaamananNNNnaasuqAAluuʼanuʼminukamaaʼaamanassufahaaaaaaʼ.
  2.013.016 .ʼalaaʼinNNNnahumhumussufahaaaaaaʼuwalaakillaayaʻlamuuun.
  2.014.017 .waʼiḏaalaqullaḏiinaʼaamanuuqAAluuʼaamanNNNnaawaʼiḏaaḫAlawʼilaašayaaṭiinihimqAAluuʼinNNNnaamaʻakum.
